lsoa_code,ward_code
E01000562,E05013505
E01000563,E05013505
E01000564,E05013505
E01000565,E05013505
E01000566,E05013505
E01000567,E05013505
E01000568,E05013505
E01000569,E05013505
E01000570,E05013515
E01000571,E05013515
E01000572,E05013506
E01000573,E05013506
E01000574,E05013506
E01000575,E05013506
E01000576,E05013506
E01000577,E05013506
E01000578,E05013515
E01000579,E05013507
E01000580,E05013507
E01000581,E05013507
E01000582,E05013507
E01000583,E05013507
E01000584,E05013507
E01000585,E05013507
E01000586,E05013507
E01000587,E05013508
E01000589,E05013508
E01000590,E05013508
E01000591,E05013508
E01000592,E05013508
E01000593,E05013508
E01000594,E05013508
E01000595,E05013510
E01000596,E05013510
E01000599,E05013510
E01000601,E05013510
E01000602,E05013510
E01000603,E05013510
E01000604,E05013510
E01000605,E05013510
E01000606,E05013511
E01000607,E05013511
E01000608,E05013511
E01000609,E05013511
E01000610,E05013511
E01000611,E05013511
E01000612,E05013514
E01000613,E05013511
E01000615,E05013516
E01000616,E05013515
E01000617,E05013512
E01000618,E05013512
E01000619,E05013512
E01000620,E05013512
E01000621,E05013512
E01000622,E05013513
E01000623,E05013513
E01000624,E05013513
E01000625,E05013513
E01000626,E05013513
E01000627,E05013513
E01000628,E05013513
E01000629,E05013513
E01000630,E05013515
E01000631,E05013514
E01000632,E05013514
E01000633,E05013514
E01000634,E05013514
E01000636,E05013515
E01000637,E05013517
E01000638,E05013509
E01000639,E05013517
E01000640,E05013517
E01000641,E05013517
E01000642,E05013517
E01000643,E05013509
E01000644,E05013517
E01000645,E05013988
E01000646,E05013988
E01000647,E05013988
E01000648,E05013988
E01000649,E05013988
E01000650,E05013988
E01000651,E05013988
E01000652,E05013988
E01000653,E05013988
E01000654,E05013989
E01000655,E05013989
E01000656,E05013989
E01000657,E05013989
E01000658,E05013989
E01000659,E05013989
E01000661,E05013990
E01000662,E05013990
E01000663,E05013990
E01000664,E05013990
E01000665,E05013990
E01000666,E05013998
E01000667,E05013990
E01000668,E05013990
E01000669,E05013990
E01000670,E05013991
E01000671,E05013991
E01000672,E05013991
E01000673,E05014005
E01000674,E05013991
E01000676,E05013991
E01000677,E05013991
E01000678,E05013991
E01000679,E05013990
E01000680,E05013992
E01000681,E05013997
E01000682,E05013997
E01000683,E05013992
E01000684,E05013992
E01000685,E05013992
E01000686,E05013992
E01000687,E05013992
E01000688,E05013992
E01000689,E05013993
E01000690,E05013993
E01000691,E05013993
E01000692,E05013993
E01000693,E05013993
E01000694,E05014000
E01000695,E05013993
E01000696,E05013993
E01000697,E05013993
E01000698,E05013993
E01000699,E05013994
E01000700,E05013994
E01000701,E05013994
E01000702,E05013994
E01000703,E05013994
E01000704,E05013994
E01000705,E05013994
E01000706,E05013994
E01000707,E05013994
E01000708,E05013994
E01000709,E05013994
E01000710,E05013987
E01000711,E05013987
E01000712,E05013987
E01000713,E05013987
E01000714,E05013987
E01000715,E05013987
E01000716,E05013987
E01000717,E05014005
E01000718,E05013987
E01000719,E05014007
E01000720,E05014006
E01000721,E05014006
E01000722,E05014006
E01000723,E05014006
E01000724,E05014006
E01000725,E05014006
E01000726,E05014006
E01000727,E05014006
E01000728,E05014007
E01000729,E05014007
E01000730,E05014007
E01000731,E05014007
E01000732,E05014006
E01000733,E05014006
E01000734,E05014006
E01000735,E05014007
E01000736,E05014007
E01000737,E05014007
E01000738,E05014007
E01000739,E05014007
E01000741,E05013995
E01000742,E05013995
E01000743,E05013995
E01000744,E05013995
E01000745,E05013995
E01000746,E05013995
E01000747,E05013996
E01000748,E05013996
E01000749,E05013996
E01000750,E05013997
E01000751,E05013997
E01000752,E05013997
E01000753,E05013997
E01000754,E05013997
E01000755,E05013997
E01000756,E05013997
E01000757,E05013997
E01000758,E05013997
E01000759,E05013998
E01000760,E05013998
E01000761,E05013998
E01000762,E05013991
E01000763,E05013998
E01000764,E05013998
E01000765,E05013998
E01000766,E05013998
E01000767,E05013998
E01000768,E05013998
E01000769,E05013999
E01000770,E05013999
E01000771,E05013999
E01000772,E05013999
E01000773,E05013999
E01000774,E05013999
E01000775,E05013999
E01000777,E05013999
E01000778,E05013999
E01000779,E05014000
E01000780,E05014000
E01000781,E05014000
E01000782,E05014000
E01000783,E05014000
E01000784,E05014000
E01000785,E05014000
E01000786,E05014001
E01000787,E05014006
E01000788,E05014001
E01000789,E05014001
E01000790,E05014001
E01000791,E05014001
E01000792,E05014001
E01000793,E05014001
E01000794,E05014001
E01000795,E05013992
E01000796,E05014002
E01000797,E05014002
E01000798,E05014002
E01000799,E05014002
E01000800,E05014002
E01000801,E05014002
E01000802,E05014002
E01000803,E05014002
E01000804,E05014002
E01000805,E05014002
E01000806,E05014002
E01000807,E05014003
E01000808,E05014003
E01000809,E05014003
E01000810,E05014003
E01000811,E05014003
E01000812,E05014003
E01000813,E05014003
E01000814,E05014003
E01000815,E05014003
E01000816,E05014004
E01000818,E05013988
E01000819,E05014004
E01000820,E05013988
E01000822,E05014004
E01000823,E05014004
E01000824,E05014004
E01000825,E05013988
E01000826,E05014005
E01000827,E05014005
E01000828,E05014005
E01000829,E05014005
E01000830,E05014005
E01000831,E05014005
E01000832,E05014005
E01000833,E05014008
E01000834,E05014008
E01000835,E05014008
E01000836,E05014008
E01000837,E05014008
E01000838,E05014008
E01000839,E05014008
E01000840,E05014008
E01000841,E05014008
E01000842,E05013652
E01000843,E05013652
E01000844,E05013652
E01000845,E05013667
E01000846,E05013667
E01000847,E05013667
E01000848,E05013652
E01000849,E05013652
E01000850,E05013653
E01000851,E05013653
E01000853,E05013653
E01000855,E05013653
